FY,main.hyperlink,xpath,link.title,file.hyperlink,document.type,file.type,appropriation,sorting.id,display.version
2019,https://comptroller.defense.gov/Budget-Materials/Budget2019/,#LiveHTMLWrapper92093 div,Press Release - Defense Budget,https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2019/fy2019_Press_Release.pdf,Press Releases,PDF,NA,1,not.display.version
2019,https://comptroller.defense.gov/Budget-Materials/Budget2019/,#LiveHTMLWrapper92093 div,Budget Briefing,https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2019/FY2019_Budget_Request.pdf,Press Releases,PDF,NA,2,not.display.version
2019,https://comptroller.defense.gov/Budget-Materials/Budget2019/,#LiveHTMLWrapper92093 div,"Briefing by Under Secretary Of Defense (Comptroller) David L. Norquist; Lt. Gen. Anthony R. Ierardi, USA, Director, Force Structure, Resources and Assessment, Joint Staff (J8)",https://www.defense.gov/News/Transcripts/Transcript-View/Article/1439782/department-of-defense-news-briefing-on-the-presidents-fiscal-year-2019-defense/,Press Releases,Site,NA,3,not.display.version
2019,https://comptroller.defense.gov/Budget-Materials/Budget2019/,#LiveHTMLWrapper92093 div,Summary Budget Documents,https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2019/FY2019_Budget_Request_Overview_Book.pdf,Summary Budget Documents,PDF,NA,4,not.display.version
2019,https://comptroller.defense.gov/Budget-Materials/Budget2019/,#LiveHTMLWrapper92093 div,Performance Improvements,https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2019/FY2019_Performance_Improvement.pdf,Summary Budget Documents,PDF,NA,5,not.display.version
2019,https://comptroller.defense.gov/Budget-Materials/Budget2019/,#LiveHTMLWrapper92093 div,Program Acquisition Costs by Weapons System,https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2019/FY2019_Weapons.pdf,Summary Budget Documents,PDF,NA,6,not.display.version
2019,https://comptroller.defense.gov/Budget-Materials/Budget2019/,#LiveHTMLWrapper92093 div,FY2019 Multiyear Procurement Exhibits,https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2019/FY19_PB_MYP_Exhibits.pdf,Summary Budget Documents,PDF,NA,7,not.display.version
2019,https://comptroller.defense.gov/Budget-Materials/Budget2019/,#LiveHTMLWrapper92093 div,Financial Summary Tables,https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2019/FY2019_Financial_Summary_Tables.pdf,Summary Budget Documents,PDF,NA,8,not.display.version
2019,https://comptroller.defense.gov/Budget-Materials/Budget2019/,#LiveHTMLWrapper92093 div,National Defense Budget Estimates for FY 2019 (Green Book),https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2019/FY19_Green_Book.pdf,Summary Budget Documents,PDF,NA,9,not.display.version
2019,https://comptroller.defense.gov/Budget-Materials/Budget2019/,#LiveHTMLWrapper92093 div,National Defense Budget Estimates for FY 2019 (Green Book),https://comptroller.defense.gov/Portals/45/Documents/defbudget/fy2019/FY_2019_Green_Book.zip,Summary Budget Documents,Zip,NA,10,not.display.version
